dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.737442,1.125000,4.737481,6.134649,0.690173,-9.859609,0.000000
0.020000,4.860332,1.125000,4.860372,6.144508,0.492980,-9.859609,0.000000
0.020000,4.983341,1.125000,4.983380,6.150424,0.295788,-9.859609,0.000000
0.020000,5.106360,1.125000,5.106399,6.150956,0.026618,-13.458536,0.000000
0.020000,5.229282,1.125000,5.229321,6.146105,-0.242553,-13.458536,0.000000
0.020000,5.352028,1.125000,5.352068,6.137310,-0.439745,-9.859609,0.000000
0.020000,5.474520,1.125000,5.474559,6.124572,-0.636938,-9.859609,0.000000
0.020000,5.596677,1.125000,5.596717,6.107889,-0.834130,-9.859609,0.000000
0.020000,5.718423,1.125000,5.718462,6.087263,-1.031322,-9.859609,0.000000
0.020000,5.839676,1.125000,5.839716,6.062692,-1.228514,-9.859609,0.000000
0.020000,5.960360,1.125000,5.960399,6.034178,-1.425706,-9.859609,0.000000
0.020000,6.080394,1.125000,6.080434,6.001720,-1.622898,-9.859609,0.000000
0.020000,6.199701,1.125000,6.199740,5.965318,-1.820091,-9.859609,0.000000
0.020000,6.318200,1.125000,6.318240,5.924973,-2.017283,-9.859609,0.000000
0.020000,6.435814,1.125000,6.435853,5.880683,-2.214475,-9.859609,0.000000
0.020000,6.552463,1.125000,6.552502,5.832450,-2.411667,-9.859609,0.000000
0.020000,6.668068,1.125000,6.668108,5.780273,-2.608859,-9.859609,0.000000
0.020000,6.782551,1.125000,6.782591,5.724152,-2.806051,-9.859609,0.000000
0.020000,6.895833,1.125000,6.895873,5.664087,-3.003244,-9.859609,0.000000
0.020000,7.007835,1.125000,7.007874,5.600078,-3.200436,-9.859609,0.000000
0.020000,7.118477,1.125000,7.118517,5.532126,-3.397628,-9.859609,0.000000
0.020000,7.227682,1.125000,7.227721,5.460229,-3.594820,-9.859609,0.000000
0.020000,7.335369,1.125000,7.335409,5.384389,-3.792012,-9.859609,0.000000
0.020000,7.441462,1.125000,7.441501,5.304605,-3.989204,-9.859609,0.000000
0.020000,7.545879,1.125000,7.545919,5.220877,-4.186397,-9.859609,0.000000
0.020000,7.648543,1.125000,7.648583,5.133205,-4.383589,-9.859609,0.000000
0.020000,7.749375,1.125000,7.749414,5.041589,-4.580781,-9.859609,0.000000
0.020000,7.848296,1.125000,7.848335,4.946030,-4.777973,-9.859609,0.000000
0.020000,7.945226,1.125000,7.945266,4.846527,-4.975165,-9.859609,0.000000
0.020000,8.040088,1.125000,8.040127,4.743080,-5.172358,-9.859609,0.000000
0.020000,8.132802,1.125000,8.132841,4.635689,-5.369550,-9.859609,0.000000
0.020000,8.223289,1.125000,8.223328,4.524354,-5.566742,-9.859609,0.000000
